,TeamFull,Color,TeamRed,SColor
0,Atlanta Hawks,#E03A3E,ATL,#C1D32F
1,Boston Celtics,#007a33,BOS,#BA9653
2,Brooklyn Nets,#000000,BKN,#000
3,Charlotte Hornets,#1D1160,CHA,#00788c
4,Chicago Bulls,#CE1141,CHI,#000
5,Cleveland Cavaliers,#6f263d,CLE,#ffb81c
6,Dallas Mavericks,#00538C,DAL,#B8C4CA
7,Denver Nuggets,#00285E,DEN,#ffc72c
8,Detroit Pistons,#ED174C,DET,#006BB6
9,Golden State Warriors,#006BB6,GSW,#fdb927
10,Houston Rockets,#ce1141,HOU,#000000
11,Indiana Pacers,#002D62,IND,#fdbb30
12,Los Angeles Clippers,#ED174C,LAC,#006bb6
13,Los Angeles Lakers,#552583,LAL,#ffc72c
14,Memphis Grizzlies,#6189B9,MEM,#00285E
15,Miami Heat,#98002e,MIA,#F9A01B
16,Milwaukee Bucks,#00471b,MIL,#eee1c6
17,Minnesota Timberwolves,#0c2340,MIN,#236192
18,New Orleans Pelicans,#002b5c,NOP,#E31837
19,New York Knicks,#006BB6,NYK,#f58426
20,Oklahoma City Thunder,#007AC1,OKC,#ef3b24
21,Orlando Magic,#0057b8,ORL,#c2ccd2
22,Philadelphia 76ers,#006BB6,PHI,#ED174C
23,Phoenix Suns,#1D1160,PHX,#e56020
24,Portland Trail Blazers,#E03A3E,POR,#000000
25,Sacramento Kings,#5A2D81,SAC,#63727a
26,San Antonio Spurs,#000000,SAS,#C4CED4
27,Toronto Raptors,#CE1141,TOR,#000
28,Utah Jazz,#002B5C,UTA,#F9A01B
29,Washington Wizards,#002B5C,WAS,#e31837
30,Seattle Supersonics,#00653a,,#ffc200
